SI DICE CHE I FEROCI DISEGNI DI AVVERTIMENTO SULLA SUA PANCIA VARINO DA ZONA A ZONA.
I FEROCI DISEGNI SULLA SUA PANCIA SONO OGGETTO DI ATTENTI STUDI. NE SONO STATI SCOPERTI 6 TIPI.
TERRORIZZA LA PREDA CON IL VISO DISEGNATO SULLA PANCIA, POI BLOCCA E AVVELENA LA VITTIMA ATTERRITA.
MOLTO VENDICATIVO, SE INDIVIDUA UNA PREDA NON SI DÀ PACE FINCHÉ NON LA RAGGIUNGE, NON IMPORTA QUANDO.
PER TERRORIZZARE LA PREDA DILATA IL PETTO ED EMETTE UN TERRIBILE VERSO LIBERANDO ARIA DALLA BOCCA.
QUESTO POKÉMON È COSÌ FORTE DA RIUSCIRE A STRITOLARE QUALSIASI COSA COL CORPO, PERSINO UN BIDONE IN ACCIAIO. SE ARBOK SI AVVINGHIA AD UN NEMICO È IMPOSSIBILE SFUGGIRE A QUESTA MORSA FATALE.
ARBOK RIESCE A STRITOLARE QUALSIASI COSA COL CORPO, PERSINO UN BIDONE IN ACCIAIO. SE SI AVVINGHIA AD UN NEMICO È IMPOSSIBILE SFUGGIRE ALLA SUA MORSA FATALE.
IL DISEGNO SULLA PANCIA RAPPRESENTA UNA FACCIA SPAVENTOSA, CAPACE DI FAR FUGGIRE I NEMICI PIÙ PAVIDI.
SI DICE CHE I FEROCI DISEGNI SULLA PANCIA VARINO DA ZONA A ZONA.
PRIMA PARALIZZA I NEMICI CON IL TERRIFICANTE DISEGNO CHE HA SUL VENTRE, POI GLI SI AVVINGHIA INTORNO.
QUESTO POKÉMON È COSÌ FORTE DA RIUSCIRE A STRITOLARE QUALSIASI COSA COL CORPO, PERSINO UN BIDONE IN ACCIAIO. SE ARBOK SI AVVINGHIA A UN NEMICO È IMPOSSIBILE SFUGGIRE A QUESTA MORSA FATALE.
SECONDO GLI STUDI PIÙ RECENTI, ESISTONO PIÙ DI 20 VARIANTI DEL DISEGNO CHE HA SUL VENTRE.
GLI SPAVENTOSI DISEGNI CHE HA SULLA PANCIA SONO OGGETTO DI STUDIO. NE SONO STATE SCOPERTE SEI DIVERSE VARIAZIONI.
