QUESTO POTENTE POKÉMON INFILZA CON IL CORNO LA PANCIA DEL NEMICO, SOLLEVANDOLO E TIRANDOLO LONTANO.
LA FORZA ERCULEA GLI PERMETTE DI LANCIARE OGGETTI 100 VOLTE PIÙ PESANTI DI LUI.
HERACROSS È DOTATO DI ARTIGLI AFFILATI SULLE ZAMPE INFERIORI, CHE CONFICCA NEL TERRENO O NELLA CORTECCIA DEGLI ALBERI PER GUADAGNARE STABILITÀ MENTRE INCORNA VIOLENTEMENTE I NEMICI E LI SCAGLIA LONTANO.
QUESTO POTENTE POKÉMON INFILZA CON IL CORNO LA PANCIA DEL NEMICO, SOLLEVANDOLO E LANCIANDOLO LONTANO.
SI AGGIRA NELLE FORESTE IN CERCA DI LINFA, DI CUI È GHIOTTO. È TANTO FORTE DA SCAGLIARE LONTANO I NEMICI.
GRAZIE ALLE ZAMPE PODEROSE E AGLI ARTIGLI, RIESCE A SCARAVENTARE LONTANISSIMO QUALSIASI NEMICO.
È GHIOTTO DI MIELE E PER NON FARSELO RUBARE USA IL SUO POSSENTE CORNO PER SCAGLIARE LONTANO I NEMICI.
IL GROSSO CORNO È IL SUO PUNTO DI FORZA. AD ALOLA HA UNA FORTE RIVALITÀ CON I VIKAVOLT, CON I QUALI È COSTANTEMENTE IN LOTTA.
SI AGGIRA PER LE FORESTE IN CERCA DI MIELE. POSSIEDE UNA FORZA SPAVENTOSA DI CUI VA FIERO, MA NON È MOLTO ABILE NEL VOLO.
USANDO LE SUE CORNA RIESCE A SOLLEVARE OGGETTI 500 VOLTE PIÙ PESANTI DI LUI.
LA FORMIDABILE ENERGIA DELLA MEGAEVOLUZIONE FA SVILUPPARE I SUOI MUSCOLI, MA QUANDO TORNA AL SUO STATO NORMALE È TUTTO INDOLENZITO.
