IL SUO CORPO È MORBIDISSIMO. SE INIZIA A ROTOLARE, RIMBALZA COSÌ FORTE CHE È IMPOSSIBILE FERMARLO.
IL CORPO MOLTO FLESSIBILE ED ELASTICO LO FA RIMBALZARE DA OGNI PARTE CONTINUAMENTE.
ANZICHÉ CAMMINARE SULLE SUE CORTE ZAMPE, PREFERISCE RIMBALZARE SUL SUO CORPO SOFFICE E DELICATO.
IL CORPO DI IGGLYBUFF È MORBIDO ED ELASTICO. QUANDO CANTA A SQUARCIAGOLA SENZA FERMARSI, IL SUO CORPO SI COLORA DI UN ROSA INTENSO ED UNIFORME.
IL SUO CORPO È MORBIDISSIMO. SE INIZIA A ROTOLARE, RIMBALZA COSÌ TANTO CHE È IMPOSSIBILE FERMARLO.
HA UN CORPO MORBIDO ED ELASTICO. QUANDO COMINCIA A SALTELLARE È PRATICAMENTE IMPOSSIBILE FERMARLO.
IL SUO CORPO È MORDIDO, ELASTICO ED EMETTE UN PROFUMO DOLCE E DELICATO. SE INIZIA A RIMBALZARE È IMPOSSIBILE FERMARLO.
GLI PIACE MOLTO CANTARE, MA È ANCORA INESPERTO. SE INCORAGGIATO NEL MODO GIUSTO, MIGLIORA A POCO A POCO.
SI MUOVE RIMBALZANDO E QUANDO SUDA MOLTO EMANA UN LIEVE AROMA DOLCIASTRO.
SI ALLENA CONTINUAMENTE NEL CANTO PER MIGLIORARE. ANCHE MENTRE DORME, CONTINUA A CANTARE IN SOGNO.
SE LASCIATO FARE, SI ALLENA NEL CANTO SENZA SOSTA. OGNI TANTO È MEGLIO FARGLI FARE UNA PAUSA PER EVITARE CHE SI FACCIA MALE ALLA GOLA.
