DI SOLITO STA IN LUOGHI OSCURI E UMIDI, NON PER SE STESSO, MA PER I GROSSI FUNGHI CHE HA SULLA SCHIENA.
PIÙ CRESCE IL FUNGO CHE HA SUL DORSO, PIÙ FORTI DIVENTANO LE SPORE CHE SPARGE.
PARASECT È NOTO PER LA SUA ABILITÀ DI INFESTARE VASTI GRUPPI DI ALBERI TRAENDO NUTRIMENTO DA TRONCHI E RADICI. QUANDO MUORE UN ALBERO INFESTATO, IL POKÉMON NE CERCA SUBITO UN ALTRO.
DIFFONDE SPORE TOSSICHE, CHE IN CINA SI UTILIZZANO COME ERBA MEDICINALE.
PARASECT È CONTROLLATO DA UN FUNGO ANCORA PIÙ GROSSO DEL SUO CORPO. DIFFONDE SPORE VELENOSE.
AGISCE IN BASE ALLA VOLONTÀ DEL FUNGO, CRESCIUTO PIÙ DEL SUO CORPO DA COLEOTTERO. AMA I POSTI UMIDI.
PIÙ CRESCE IL FUNGO SULLA SUA SCHIENA, PIÙ POTENTI SONO LE SPORE CHE DISSEMINA.
I PARASECT AGISCONO IN GRUPPO E SONO NOTI PER LA LORO ABILITÀ DI INFESTARE GLI ALBERI TRAENDO NUTRIMENTO DA TRONCHI E RADICI. QUANDO MUORE UN ALBERO INFESTATO, NE CERCANO SUBITO UN ALTRO.
PARASECT È CONTROLLATO DAL GRANDE FUNGO CHE HA SUL DORSO. SPESSO SI CONTENDE IL TERRITORIO CON GLI SHIINOTIC.
SPARGE SPORE VELENOSE DAL FUNGO CHE HA SUL DORSO. SE RACCOLTE E FATTE BOLLIRE, QUESTE SPORE POSSONO ESSERE USATE COME FARMACO.
LA PARTE ESSENZIALE DI QUESTO POKÉMON, PRATICAMENTE MORTO, È COSTITUITA DAL FUNGO SULLA SUA SCHIENA. SE SI STACCA, NON PUÒ PIÙ MUOVERSI.
DALLE SUE SPORE VELENOSE SI POSSONO RICAVARE DEI FARMACI. TUTTAVIA, SEMBRA CHE QUELLI PRODOTTI AD ALOLA NON SIANO DI BUONA QUALITÀ.
