COLLEZIONANDO TUTTE LE 101 CARTE PRESENTI NEL GIOCO
QUANDO VARI POKÉMON DI QUESTO TIPO SI RADUNANO, LA LORO ENERGIA PUÒ CAUSARE FORTI TEMPESTE.
CON LA CODA RITTA SONDA I DINTORNI. SE GLIELA SI TIRA SI INNERVOSISCE, SI GIRA E CERCA DI MORDERE.
QUESTO POKÉMON CUOCE LE BACCHE DURE CON ELETTRICITÀ, PER RENDERLE TENERE PRIMA DI MANGIARLE.
QUANDO PIKACHU INCONTRA QUALCOSA CHE NON CONOSCE, LO COLPISCE CON UNA SCARICA ELETTRICA. QUANDO SI VEDE UNA BACCA ANNERITA, È EVIDENTE CHE QUESTO POKÉMON HA EMESSO UNA SCOSSA TROPPO FORTE.
SE SPAVENTATO, PERDE SCARICHE ELETTRICHE DALLE DUE SACCHE CHE HA SULLE GUANCE.
QUANDO VARI POKÉMON DI QUESTA SPECIE SI RADUNANO, LA LORO ENERGIA PUÒ CAUSARE FORTI TEMPESTE.
VIVE NELLE FORESTE INSIEME AGLI ALTRI. IMMAGAZZINA ELETTRICITÀ NELLE SACCHE SULLE GUANCE.
DI TANTO IN TANTO RICARICA GLI ALTRI PIKACHU INDEBOLITI USANDO UNA SCARICA ELETTRICA.
RECENTEMENTE È STATO PRESENTATO UN PROGETTO PER RIUNIRE NUMEROSI PIKACHU E COSTRUIRE UNA CENTRALE ELETTRICA.
ACCUMULA NATURALMENTE ELETTRICITÀ. SE OGNI TANTO NON SI SFOGA EMETTENDO SCARICHE ELETTRICHE, RISCHIA DI ESSERE SOPRAFFATTO DALLO STRESS.
ACCUMULA NATURALMENTE ELETTRICITÀ. I BOSCHI POPOLATI DA GRUPPI DI PIKACHU SONO PERICOLOSI PERCHÉ CONTINUAMENTE COLPITI DAI FULMINI.
MENTRE DORME PRODUCE ENERGIA ELETTRICA NELLE SACCHE CHE HA SULLE GUANCE. SE NON RIPOSA ABBASTANZA PUÒ EMETTERE SOLO DEBOLI SCARICHE.
VIVE NELLE FORESTE. ACCUMULA ELETTRICITÀ NELLE SACCHE SULLE GUANCE, E CHIUNQUE LE TOCCHI PRENDE LA SCOSSA.
I PIKACHU SI SALUTANO FRA LORO UNENDO LE CODE E FACENDOVI PASSARE ELETTRICITÀ ATTRAVERSO.
INDOSSA IL CAPPELLO DEL SUO INSEPARABILE AMICO. GLI RICORDA LE AVVENTURE VISSUTE DURANTE I LORO VIAGGI IN VARIE REGIONI.
INDOSSA IL CAPPELLO DEL SUO AMATO ALLENATORE IN RICORDO DELLE AVVENTURE VISSUTE DURANTE I LORO VIAGGI IN VARIE REGIONI.
INDOSSA IL CAPPELLO DEL SUO INSEPARABILE AMICO. GLI RICORDA LE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI HOENN.
INDOSSA IL CAPPELLO DEL SUO AMATO ALLENATORE IN RICORDO DELLE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI HOENN.
INDOSSA IL CAPPELLO DEL SUO INSEPARABILE AMICO. GLI RICORDA LE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI SINNOH.
INDOSSA IL CAPPELLO DEL SUO AMATO ALLENATORE IN RICORDO DELLE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI SINNOH.
INDOSSA IL CAPPELLO DEL SUO INSEPARABILE AMICO. GLI RICORDA LE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI UNIMA.
INDOSSA IL CAPPELLO DEL SUO AMATO ALLENATORE IN RICORDO DELLE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI UNIMA.
INDOSSA IL CAPPELLO DEL SUO INSEPARABILE AMICO. GLI RICORDA LE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI KALOS.
INDOSSA IL CAPPELLO DEL SUO AMATO ALLENATORE IN RICORDO DELLE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI KALOS.
INDOSSA IL CAPPELLO DEL SUO INSEPARABILE AMICO. GLI RICORDA LE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI ALOLA.
INDOSSA IL CAPPELLO DEL SUO AMATO ALLENATORE IN RICORDO DELLE AVVENTURE VISSUTE DURANTE IL LORO VIAGGIO NELLA REGIONE DI ALOLA.
INDOSSA IL CAPPELLO DEL SUO INSEPARABILE AMICO. È UN PREZIOSO RICORDO DEL LORO FATIDICO INCONTRO.
INDOSSA IL CAPPELLO DEL SUO AMATO ALLENATORE. È UN PREZIOSO RICORDO DEL LORO FATIDICO INCONTRO.
