UN SUO ZOCCOLO È 10 VOLTE PIÙ DURO DEL DIAMANTE. PUÒ SCHIACCIARE QUALSIASI COSA IN POCHISSIMO TEMPO.
APPENA NATO NON È UN BUON CORRIDORE. IMPARA A CORRERE SEMPRE PIÙ VELOCE RINCORRENDO I SUOI GENITORI.
I SUOI ARTI POSTERIORI HANNO ZOCCOLI PIÙ DURI DEL DIAMANTE. SE SENTE QUALCUNO DIETRO DI SÉ, SCALCIA.
PONYTA È MOLTO DEBOLE ALLA NASCITA. RIESCE A MALAPENA A REGGERSI IN PIEDI. POI SI RINFORZA A FURIA DI INCIAMPARE E CADERE, CERCANDO DI TENERE IL PASSO DEI SUOI GENITORI.
PONYTA È COSÌ DEBOLE ALLA NASCITA DA NON RIUSCIRE QUASI A REGGERSI IN PIEDI. POI SI RINFORZA A FURIA DI CADERE, CERCANDO DI TENERE IL PASSO DEI SUOI GENITORI.
HA UN CORPO LEGGERO SU ZAMPE ESTREMAMENTE POTENTI. CON UN SALTO, PUÒ OLTREPASSARE AYERS ROCK.
SI RAFFORZA LE ZAMPE RINCORRENDO I SUOI GENITORI. CORRE TUTTO IL GIORNO PER CAMPI E MONTI.
ALLA NASCITA NON RIESCE QUASI A REGGERSI IN PIEDI. GALOPPANDO SI RINFORZA E DIVENTA PIÙ VELOCE.
APPENA NATO NON È UN BUON CORRIDORE. DIVENTA SEMPRE PIÙ VELOCE RINCORRENDO I SUOI GENITORI.
PONYTA È MOLTO DEBOLE ALLA NASCITA E RIESCE A MALAPENA A REGGERSI IN PIEDI. POI SI RINFORZA A FURIA DI INCIAMPARE E CADERE, CERCANDO DI TENERE IL PASSO DEI SUOI GENITORI.
APPENA NATO NON È UN BUON CORRIDORE, MA COL TEMPO IRROBUSTISCE LE SUE ZAMPE RINCORRENDO I SUOI SIMILI.
UNA VOLTA CONQUISTATA LA FIDUCIA DI PONYTA, È POSSIBILE TOCCARE LA SUA CRINIERA INFUOCATA SENZA SCOTTARSI.
IL SUO PICCOLO CORNO POSSIEDE POTERI CURATIVI. PUÒ GUARIRE UNA FERITA NON TROPPO GRAVE APPOGGIANDOVI SOPRA IL CORNO.
