ZUPPA ALLA CUBETTI, SUCCO BLU ALLA CUBETTI, CRÊPE SETOSA ALLA CUBETTI
QUANDO ATTACCA MORDE TUTTO. PICCOLO E VELOCE SI VEDE COMUNEMENTE IN MOLTI LUOGHI.
CON LE SUE ZANNE RODE QUALSIASI COSA. VIVE IN COLONIE NUMEROSE CON PIÙ DI 40 ESEMPLARI.
MANGIA QUALSIASI COSA. SI SISTEMA OVUNQUE CI SIA DEL CIBO, MOLTIPLICANDOSI ININTERROTTAMENTE.
VIVE OVUNQUE SI TROVI DEL CIBO, CERCANDO PER TUTTO IL GIORNO QUALSIASI COSA DI CUI CIBARSI.
MOLTO ATTIVO, È IN GRADO DI VIVERE OVUNQUE. INOLTRE, SI RIPRODUCE CON ESTREMA RAPIDITÀ.
RATTATA È ESTREMAMENTE CAUTO. ANCHE NEL SONNO MUOVE LE ORECCHIE COME SONDE PER CAPTARE I PERICOLI. COSTRUISCE IL SUO NIDO OVUNQUE.
I DENTI AFFILATI GLI CONTINUANO A CRESCERE, COSTRINGENDOLO A LIMARSELI MORDICCHIANDO OGGETTI MOLTO DURI.
VIVE OVUNQUE SI TROVI DEL CIBO, CERCANDO INCESSANTEMENTE QUALSIASI COSA SIA COMMESTIBILE.
PASSA LE GIORNATE IN CERCA DI CIBO. LE SUE ZANNE CRESCONO IN CONTINUAZIONE E PER LIMARLE MORDICCHIA COSE DURE.
I SUOI INCISIVI NON SMETTONO MAI DI CRESCERE E RICHIEDONO CONTINUE CURE. SE NON GLI VIENE DATA UNA LIMA PER REGOLARLI, ROSICCHIA I TAVOLI O ALTRO.
LA SUA STRAORDINARIA RESISTENZA GLI PERMETTE DI ADATTARSI ANCHE AD HABITAT INSALUBRI. SE LASCIATO INDISTURBATO, SI RIPRODUCE IN GRAN NUMERO.
I SUOI INCISIVI CONTINUANO A CRESCERE PER TUTTA LA VITA. SE SI ALLUNGANO TROPPO, NON RIESCE PIÙ A NUTRIRSI E MUORE DI FAME.
CON I SUOI INCISIVI RODE QUALSIASI COSA. SE SE NE AVVISTA UNO, È PROBABILE CHE IN ZONA VIVANO ALMENO 40 ESEMPLARI.
SI ATTIVA DOPO IL TRAMONTO. SETACCIA LA CITTÀ IN CERCA DI PRELIBATEZZE DA PORTARE AL RATICATE CAPOBRANCO.
È INTERESSATO SOLO AL CIBO FRESCO E QUESTO LO RENDE UN AIUTANTE PREZIOSO NELLA SCELTA DEGLI INGREDIENTI MIGLIORI QUANDO SI VA A FARE LA SPESA.
DI NOTTE SI INTRUFOLA NELLE CASE IN CERCA DI CIBO. LA PRESENZA MASSICCIA DI QUESTI POKÉMON È DIVENTATA UN PROBLEMA.
POSSIEDE BAFFI MOLTO SENSIBILI AGLI ODORI, CHE GLI PERMETTONO DI FIUTARE IL CIBO NASCOSTO E TROVARLO IN UN BATTIBALENO.
