ROSELIA SPARA SPINE MOLTO AFFILATE COME FOSSERO PROIETTILI, A TUTTI COLORO CHE TENTANO DI RUBARGLI I FIORI DAL BRACCIO. IL PROFUMO DI QUESTO POKÉMON INFONDE SERENITÀ A TUTTI GLI ESSERI VIVENTI.
IN QUALCHE RARISSIMA OCCASIONE, ROSELIA È STATA VISTA CON FIORI DAI COLORI INCONSUETI. LE SPINE SULLA TESTA DI QUESTO POKÉMON CONTENGONO UN VELENO MICIDIALE.
DAI SUOI FIORI SI DIFFONDE UNA FRAGRANZA RILASSANTE. PIÙ INTENSO È IL PROFUMO, PIÙ QUESTO POKÉMON È FORTE.
ROSELIA, CRESCIUTO BEVENDO ACQUA PULITA, È NOTO PERCHÉ FA CRESCERE FIORI DAI VIVIDI COLORI.
PIÙ IN FORMA È, PIÙ PIACEVOLE È IL PROFUMO DEI SUOI FIORI. QUESTA FRAGRANZA RILASSA LE PERSONE.
BEVE SOLO ACQUA DI FONTE, RICCA DI SOSTANZE NUTRITIVE, CHE CONFERISCE AI SUOI FIORI DEI COLORI DESUETI.
ATTACCA USANDO ABILMENTE I DUE TIPI DI VELENO DELLE ESTREMITÀ DEI SUOI ARTI. PIÙ È FORTE LA SUA FRAGRANZA, PIÙ È IN SALUTE.
BEVE SOLO ACQUA DI FONTE, RICCA DI SOSTANZE NUTRITIVE, CHE CONFERISCE AI SUOI FIORI DEI COLORI PREZIOSI.
IN QUALCHE RARISSIMA OCCASIONE, ROSELIA È STATO VISTO CON I FIORI DAI COLORI INCONSUETI. LE SPINE SULLA TESTA DI QUESTO POKÉMON CONTENGONO UN VELENO MICIDIALE.
DAI SUOI FIORI SI DIFFONDE UNA FRAGRANZA RILASSANTE. PIÙ È INTENSO IL SUO PROFUMO, PIÙ IL POKÉMON È IN SALUTE.
ATTACCA USANDO ABILMENTE I SUOI ARTI, CHE CONTENGONO VELENI DIVERSI. PIÙ È FORTE LA SUA FRAGRANZA, PIÙ È IN SALUTE.
