IL SUO CORPO È MOLTO ASCIUTTO, MA SI DICE CHE QUANDO SI FA FREDDO SI RICOPRA DI FINE RUGIADA.
SE CADE DA UNA GRANDE ALTEZZA, QUESTO POKÉMON PUÒ SALVARSI APPALLOTTOLANDOSI E RIMBALZANDO.
PREFERISCE LE AREE ARIDE E SABBIOSE, PER PROTEGGERSI CON LA SABBIA QUANDO AVVERTE UNA MINACCIA.
SANDSHREW HA UNA CORAZZA ESTREMAMENTE SECCA E DURA. PUÒ CHIUDERSI A SFERA E ROTOLARE PER DIFENDERSI DAGLI ATTACCHI. QUANDO CALA LA NOTTE, SI NASCONDE NELLA SABBIA DEL DESERTO PER DORMIRE.
SANDSHREW SI CHIUDE A SFERA E IN TAL MODO SI DIFENDE CON FACILITÀ DAGLI ATTACCHI. POICHÉ VIVE NEL DESERTO, QUESTO POKÉMON HA SVILUPPATO UNA CORAZZA RESISTENTE.
VIVE SOTTOTERRA, SCAVANDO BUCHE. SE MINACCIATO, SI PROTEGGE RAGGOMITOLANDOSI.
VIVE IN ZONE ARIDE CON PRECIPITAZIONI MINIME. SI ARROTOLA COME SE FOSSE UNA PALLA PER DIFENDERSI DAI NEMICI.
SCAVA PROFONDI TUNNEL IN CUI POI VIVE. SE FIUTA UN PERICOLO O SE VIENE ATTACCATO SI RIPARA APPALLOTTOLANDOSI SU SE STESSO.
QUANDO SI RAGGOMITOLA SU SE STESSO SEMBRA UNA PALLA. SI MUOVE NEL DESERTO ROTOLANDO A GRAN VELOCITÀ.
VIVE PER LO PIÙ NEI DESERTI E IN ZONE ARIDE. SCAVA BUCHE NEL TERRENO PER CATTURARE POKÉMON DI TIPO COLEOTTERO.
VIVE IN ZONE CON SCARSE PRECIPITAZIONI. QUANDO È MINACCIATO DA UN PERICOLO, SI RAGGOMITOLA PER PROTEGGERE IL VENTRE MOLLE.
QUANDO LA SUA PELLE ASSORBE TROPPA UMIDITÀ, RAGGIUNGE UN VULCANO E SI STENDE SUL TERRENO CALDO PER ASCIUGARSI.
IL SUO CORPO È MOLTO ASCIUTTO, MA SI DICE CHE QUANDO DI NOTTE LA TEMPERATURA SI ABBASSA SI RICOPRA DI FINE RUGIADA.
IN UNA DELLE FESTE TRADIZIONALI DELLA REGIONE DI ALOLA, I PARTECIPANTI GAREGGIANO A FAR SCIVOLARE UN SANDSHREW PIÙ LONTANO POSSIBILE SUL GHIACCIO.
