SE IN PERICOLO SI CHIUDE A RICCIO. QUESTA PALLA SPINOSA PUÒ ROTOLARE, ATTACCARE E SCAPPARE.
È ABILISSIMO A GRAFFIARE I SUOI NEMICI CON GLI ARTIGLI AFFILATI. SE SI ROMPONO, SI RIFORMANO SUBITO.
PER NASCONDERSI PUÒ GIRARE SU SE STESSO VELOCEMENTE E PROVOCARE UNA TEMPESTA DI POLVERE ACCECANTE.
SE SCAVA AD INCREDIBILE VELOCITÀ, PUÒ CONSUMARSI LE PUNTE E GLI ARTIGLI. GLI RICRESCONO IN UN GIORNO.
SANDSLASH ARROTOLA IL PROPRIO CORPO COME FOSSE UNA SFERA RICOPERTA DI GRANDI ACULEI, CHE USA IN LOTTA PER FAR TENTENNARE IL NEMICO. POI GLI SI SCAGLIA CONTRO PER COLPIRLO SELVAGGIAMENTE CON GLI ARTIGLI AFFILATI.
SANDSLASH SI CHIUDE A RICCIO PER PROTEGGERSI DAGLI ATTACCHI NEMICI E DA ONDATE DI CALORE NELLE GIORNATE ESTREMAMENTE CALDE.
ATTACCA CON GLI ACULEI SUL DORSO E GLI ARTIGLI AFFILATI, PER POI FUGGIRE RAPIDAMENTE.
SE IN PERICOLO SI CHIUDE A RICCIO. IN QUESTA FORMA PUÒ ROTOLARE, ATTACCARE E SCAPPARE.
SI ARROTOLA COME UNA PALLA E ROTOLA SUL DORSO VERSO I NEMICI. GLI ACULEI AGUZZI PROVOCANO GRAVI DANNI.
SE SCAVA MOLTO VELOCEMENTE GLI SI CONSUMANO LE PUNTE E GLI ARTIGLI, MA GLI RICRESCONO IN UN GIORNO.
SANDSLASH ROTOLA IL PROPRIO CORPO COME SE FOSSE UNA SFERA RICOPERTA DI GRANDI ACULEI, CHE USA IN LOTTA PER FAR TENTENNARE IL NEMICO. POI GLI SI SCAGLIA CONTRO PER COLPIRLO SELVAGGIAMENTE CON GLI ARTIGLI AFFILATI.
I SUOI ARTIGLI E ACULEI SONO MOLTO AFFILATI, MA ANCHE PIUTTOSTO FRAGILI E SI SPEZZANO SPESSO. TUTTAVIA, RICRESCONO NEL GIRO DI UN GIORNO.
SI ARRAMPICA SUGLI ALBERI CON GLI ARTIGLI AFFILATI E, AVVISTATA LA PREDA, SI RAGGOMITOLA DIVENTANDO UNA SFERA IRTA DI ACULEI E LE PIOMBA ADDOSSO.
I SUOI ACULEI SI SPEZZANO SPESSO. UNA VOLTA RECUPERATI, SI POSSONO USARE PER FABBRICARE ATTREZZI PER COLTIVARE LA TERRA.
GRAZIE AI SUOI GROSSI ARTIGLI PUÒ ARRAMPICARSI SUGLI ALBERI CON ESTREMA FACILITÀ. NON È RARO VEDERLO DORMIRE FRA I RAMI.
È ABILISSIMO A GRAFFIARE I NEMICI CON I SUOI ARTIGLI AFFILATI. SE SI ROMPONO, RICRESCONO DOPO UN GIORNO.
HA SVILUPPATO DEGLI ARTIGLI ROBUSTI E AFFILATI PER FARSI STRADA FRA LA NEVE, IN CUI ORA RIESCE A CORRERE A GRAN VELOCITÀ.
ANTICAMENTE VIVEVA NEL DESERTO. PIANTANDO SALDAMENTE GLI ARTIGLI AFFILATI, RIESCE A SCALARE SENZA SCIVOLARE PERSINO GLI ICEBERG.
SI È ADATTATO A VIVERE IN CONDIZIONI DI FREDDO ESTREMO. DAL CORPO EMETTE ARIA GELIDA CON CUI APPUNTISCE I SUOI ACULEI DI GHIACCIO.
