id;nome;tipo;categoria;potenza;precisione;descrizione
1;botta;normale;fisico;40;100;Colpisce il nemico con la coda o le zampe anteriori.
2;colpokarate;lotta;fisico;50;100;Colpisce il nemico con un colpo netto.
3;doppiasberla;normale;fisico;15;85;Schiaffeggia il nemico ripetutamente.
4;cometapugno;normale;fisico;18;85;Colpisce il nemico con una scarica di pugni.
5;megapugno;normale;fisico;80;85;Colpisce il nemico con un pugno poderoso.
6;giornopaga;normale;fisico;40;100;Colpisce il nemico con una gran quantità di monete.
7;fuocopugno;fuoco;fisico;75;100;Colpisce il nemico con un pugno ardente.
8;gelopugno;ghiaccio;fisico;75;100;Colpisce il nemico con un pugno di ghiaccio.
9;tuonopugno;elettro;fisico;75;100;Colpisce il nemico con un pugno elettrico.
10;graffio;normale;fisico;40;100;Infligge danni al nemico con artigli acuminati, duri e affilati.
11;presa;normale;fisico;55;100;Stringe il nemico in una morsa usando enormi e possenti tenaglie.
12;ventagliente;normale;speciale;80;100;Chi la usa genera un turbine di attacco.
13;taglio;normale;fisico;50;95;Attacca il nemico con artigli o falci affilate.
14;raffica;volante;speciale;40;100;Infligge danni al nemico con una folata di vento sollevata dalle ali.
15;attacco d'ala;volante;fisico;60;100;Infligge danni al nemico spiegando delle grandi ali possenti.
16;volo;volante;fisico;90;95;Chi la usa si alza in volo per attaccare dall'alto.
17;legatutto;normale;fisico;15;85;Lega e stritola il nemico con tentacoli o con un corpo lungo.
18;schianto;normale;fisico;80;75;Infligge danni al nemico con una coda, con una liana o con qualcosa di simile.
19;frustata;erba;fisico;45;100;Infligge danni al nemico con liane sottili simili a fruste.
20;pestone;normale;fisico;65;100;Colpisce il nemico con un grosso piede.
21;doppiocalcio;lotta;fisico;30;100;Colpisce il nemico con un paio di rapidi calci inferti con entrambi i piedi.
22;megacalcio;normale;fisico;120;75;Colpisce il nemico con un calcio sferrato con la forza di muscoli poderosi.
23;calciosalto;lotta;fisico;100;95;Permette di saltare in alto per attaccare con un calcio.
24;calciorullo;lotta;fisico;60;85;Chi la usa infierisce sul nemico con un calcio rotante.
25;bottintesta;normale;fisico;70;100;Chi la usa si lancia diritto di testa contro il nemico.
26;incornata;normale;fisico;65;100;Danneggia il nemico infilzandolo con un corno affilato.
27;furia;normale;fisico;15;85;Infilza il nemico con corna affilate o un becco.
28;azione;normale;fisico;40;100;Attacco fisico che colpisce il nemico investendolo con tutto il corpo.
29;corposcontro;normale;fisico;85;100;Chi la usa carica il nemico con tutto il corpo.
30;avvolgibotta;normale;fisico;15;90;Avvolge e stritola il nemico con un corpo lungo o con piante rampicanti.
31;riduttore;normale;fisico;90;85;Carica spericolata con tutto il corpo contro il nemico.
32;colpo;normale;fisico;120;100;Assale e attacca il nemico violentemente.
33;sdoppiatore;normale;fisico;120;100;Carica spietata e pericolosa.
34;velenospina;veleno;fisico;15;100;Colpisce il nemico con un aculeo tossico.
35;doppio ago;coleottero;fisico;25;100;Colpisce il nemico con un paio di aghi.
36;missilspillo;coleottero;fisico;25;95;Il nemico viene colpito da spilli appuntiti in rapida successione.
37;morso;buio;fisico;60;100;Il nemico viene morso da denti affilatissimi.
38;acido;veleno;speciale;40;100;Colpisce i nemici intorno spruzzando un acido corrosivo.
39;braciere;fuoco;speciale;40;100;Il Pokémon attacca con piccole fiamme.
40;lanciafiamme;fuoco;speciale;90;100;Il nemico viene colpito da intense fiammate.
41;pistolacqua;acqua;speciale;40;100;Il nemico è colpito da un potente getto d'acqua.
42;idropompa;acqua;speciale;110;80;Il nemico è travolto da un potente getto d'acqua spruzzato ad altissima pressione.
43;surf;acqua;speciale;90;100;Un'onda enorme sommerge il campo di lotta.
44;geloraggio;ghiaccio;speciale;90;100;Il nemico è colpito da un raggio di energia gelida.
45;bora;ghiaccio;speciale;110;70;Colpisce i bersagli con una tremenda tempesta di ghiaccio.
46;psicoraggio;psico;speciale;65;100;Il nemico è attaccato con un raggio psichico.
47;bollaraggio;acqua;speciale;65;100;Colpisce il nemico con una forte scarica di bolle.
48;raggiaurora;ghiaccio;speciale;65;100;Il nemico viene colpito da un fascio color arcobaleno.
49;iper raggio;normale;speciale;150;90;Colpisce il nemico con un potente raggio.
50;beccata;volante;fisico;35;100;Colpisce il nemico con un becco appuntito o un corno.
51;perforbecco;volante;fisico;80;100;Attacco a spirale con un becco aguzzo che fa da trapano.
52;sottomissione;lotta;fisico;80;80;Chi la usa carica il nemico in modo spericolato.
53;forza;normale;fisico;80;100;Colpisce il nemico con un'enorme energia.
54;assorbimento;erba;speciale;20;100;Mossa che assorbe l'energia vitale dall'avversario.
55;megassorbimento;erba;speciale;40;100;Mossa che assorbe un bel po' di energia vitale dall'avversario.
56;foglielama;erba;fisico;55;95;Foglie taglienti sferzano i nemici intorno.
57;solarraggio;erba;speciale;120;100;Chi la usa assorbe luce per proiettare un raggio intenso sull'avversario.
58;petalodanza;erba;speciale;120;100;Attacca il nemico cospargendolo di petali.
59;turbofuoco;fuoco;speciale;35;85;Intrappola il bersaglio in un turbine di fuoco.
60;tuonoshock;elettro;speciale;40;100;Danneggia il bersaglio con una scarica elettrica.
61;fulmine;elettro;speciale;90;100;Il bersaglio viene colpito da una potente scarica elettrica.
62;tuono;elettro;speciale;110;70;Il nemico è colpito da un lampo molto violento.
63;sassata;roccia;fisico;50;90;Chi la usa solleva una roccia e la lancia contro il nemico.
64;terremoto;terra;fisico;100;100;Chi la usa provoca un potente sisma.
65;fossa;terra;fisico;80;100;Chi la usa attacca passando sottoterra.
66;confusione;psico;speciale;50;100;Colpisce il nemico con una leggera forza telecinetica.
67;psichico;psico;speciale;90;100;Il nemico viene colpito da una potente forza telecinetica.
68;attacco rapido;normale;fisico;40;100;Chi la usa colpisce ad una tale velocità da rendersi quasi invisibile.
69;ira;normale;fisico;20;100;Questa mossa sprigiona tutta la propria ira.
70;autodistruzione;normale;fisico;200;100;Chi la usa provoca una fragorosa esplosione.
71;uovobomba;normale;fisico;100;75;Colpisce il nemico con un grande uovo scaraventato con enorme forza.
72;leccata;spettro;fisico;30;100;Una lingua lunga infligge danni al nemico.
73;smog;veleno;speciale;30;70;Colpisce il nemico con una scarica di gas maleodoranti.
74;fango;veleno;speciale;65;100;Lancio di fango malsano che arreca danno al nemico.
75;ossoclava;terra;fisico;65;85;Il Pokémon colpisce il nemico con un bastone d'osso.
76;fuocobomba;fuoco;speciale;110;85;Investe il nemico con un'intensa fiammata che fa terra bruciata.
77;cascata;acqua;fisico;80;100;Carica il nemico a grande velocità come una cascata.
78;tenaglia;acqua;fisico;35;85;Chi la usa intrappola e stritola il nemico con la sua corazza spessa e forte.
79;comete;normale;speciale;60;100;Colpisce i nemici con raggi a forma di stella.
80;capocciata;normale;fisico;130;100;Chi la usa ritira la testa per attaccare.
81;sparalance;normale;fisico;20;100;Il nemico viene colpito in rapida successione da spilli appuntiti.
82;limitazione;normale;fisico;10;100;Colpisce il nemico con lunghi tentacoli o piante rampicanti.
83;calcinvolo;lotta;fisico;130;90;Chi la usa colpisce il nemico con una ginocchiata in volo.
84;mangiasogni;psico;speciale;100;100;Attacco che usa il potere degli incubi.
85;attacco pioggia;normale;fisico;15;85;Piovono enormi sfere sulla testa del nemico.
86;sanguisuga;coleottero;fisico;80;100;Mossa succhiasangue.
87;aeroattacco;volante;fisico;140;90;Una potente energia volante si sprigiona dal pokemon.
88;bolla;acqua;speciale;40;100;Uno spruzzo di bolle viene lanciato sul nemico.
89;stordipugno;normale;fisico;70;100;Colpisce il bersaglio con una sequenza di pugni confondenti.
90;martellata;acqua;fisico;100;90;Colpisce il nemico con una grande tenaglia.
91;esplosione;normale;fisico;250;100;Chi la genera una potentissima esplosione.
