id;name
8;gelopugno
103;polneve
56;foglielama
110;ventogelato
225;geloscheggia
252;mazzuolegno
45;bora
128;introforza
44;geloraggio
49;iper raggio
57;solarraggio
64;terremoto
134;palla ombra
146;breccia
166;rocciotomba
141;facciata
274;coro
218;focalcolpo
219;energipalla
222;gigaimpatto
292;battiterra
293;alitogelido
94;frana
136;spaccaroccia
148;forzasegreta
53;forza
224;slavina
174;semitraglia
33;sdoppiatore
184;fogliamagica
209;semebomba
80;capocciata
20;pestone
142;centripugno
113;gigassorbimento
125;codacciaio
112;oltraggio
101;russare
188;idropulsar
