id;name
227;fulmindenti
37;morso
229;rogodenti
132;extrarapido
128;introforza
49;iper raggio
57;solarraggio
65;fossa
40;lanciafiamme
76;fuocobomba
175;aeroassalto
141;facciata
270;nitrocarica
99;furto
274;coro
165;vampata
283;bruciatutto
285;nemesi
222;gigaimpatto
292;battiterra
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
321;urlorabbia
53;forza
29;corposcontro
197;zuffa
182;supplica
131;sgranocchio
33;sdoppiatore
21;doppiocalcio
59;turbofuoco
202;fuococarica
140;ondacalda
125;codacciaio
32;colpo
213;dragopulsar
245;metaltestata
112;oltraggio
101;russare
39;braciere
100;ruotafuoco
31;riduttore
267;pirolancio
