id;name
27;furia
35;doppio ago
69;ira
123;inseguimento
36;missilspillo
199;garanzia
205;velenpuntura
328;pungiglione
264;velenoshock
128;introforza
49;iper raggio
57;solarraggio
146;breccia
106;fangobomba
175;aeroassalto
141;facciata
99;furto
274;coro
115;falsofinale
284;acrobazia
198;rivincita
222;gigaimpatto
291;entomoblocco
211;forbice x
344;assillo
196;retromarcia
136;spaccaroccia
148;forzasegreta
13;taglio
250;coleomorso
297;giravvita
295;elettrotela
113;gigassorbimento
147;privazione
101;russare
34;velenospina
