id;name
202;fuococarica
140;ondacalda
177;dragartigli
226;ombrartigli
210;eterelama
10;graffio
39;braciere
229;rogodenti
267;pirolancio
97;lacerazione
40;lanciafiamme
59;turbofuoco
286;marchiatura
128;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
146;breccia
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
270;nitrocarica
274;coro
275;echeggiavoce
165;vampata
118;alacciaio
218;focalcolpo
281;cadutalibera
283;bruciatutto
222;gigaimpatto
292;battiterra
94;frana
294;codadrago
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
16;volo
53;forza
164;aerasoio
133;forzantica
37;morso
131;sgranocchio
213;dragopulsar
214;dragofuria
142;centripugno
126;ferrartigli
112;oltraggio
159;incendio
288;fiammapatto
7;fuocopugno
125;codacciaio
101;russare
9;tuonopugno
