id;name
122;dragospiro
126;ferrartigli
133;forzantica
97;lacerazione
215;gemmoforza
177;dragartigli
221;geoforza
204;forzasfera
125;codacciaio
257;fragortempo
235;cannonflash
128;introforza
44;geloraggio
45;bora
49;iper raggio
61;fulmine
62;tuono
64;terremoto
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
275;echeggiavoce
165;vampata
283;bruciatutto
226;ombrartigli
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
294;codadrago
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
237;dragobolide
213;dragopulsar
156;granvoce
245;metaltestata
112;oltraggio
187;ondashock
101;russare
