id;name
229;rogodenti
227;fulmindenti
26;incornata
292;battiterra
124;rapigiro
114;rotolamento
199;garanzia
147;privazione
18;schianto
27;furia
64;terremoto
222;gigaimpatto
128;introforza
49;iper raggio
166;rocciotomba
141;facciata
274;coro
275;echeggiavoce
247;pietrataglio
94;frana
205;velenpuntura
136;spaccaroccia
148;forzasegreta
53;forza
133;forzantica
29;corposcontro
255;zuccata
225;geloscheggia
107;fangosberla
335;carineria
101;russare
179;rimbalzo
221;geoforza
244;sporcolancio
156;granvoce
125;codacciaio
200;ultimascelta
209;semebomba
144;troppoforte
28;azione
31;riduttore
33;sdoppiatore
