id;name
308;tifone
7;fuocopugno
9;tuonopugno
30;avvolgibotta
130;tornado
18;schianto
294;codadrago
208;idrondata
214;dragofuria
112;oltraggio
49;iper raggio
177;dragartigli
128;introforza
44;geloraggio
45;bora
61;fulmine
62;tuono
64;terremoto
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
118;alacciaio
218;focalcolpo
281;cadutalibera
283;bruciatutto
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
16;volo
43;surf
53;forza
77;cascata
149;sub
253;acquagetto
122;dragospiro
213;dragopulsar
132;extrarapido
125;codacciaio
188;idropulsar
17;legatutto
237;dragobolide
142;centripugno
140;ondacalda
8;gelopugno
110;ventogelato
245;metaltestata
187;ondashock
101;russare
144;troppoforte
