id;name
10;graffio
37;morso
97;lacerazione
131;sgranocchio
177;dragartigli
276;insidia
145;vendetta
207;nottesferza
294;codadrago
236;scalaroccia
144;troppoforte
112;oltraggio
128;introforza
49;iper raggio
265;abbattimento
64;terremoto
65;fossa
40;lanciafiamme
106;fangobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
218;focalcolpo
251;raggioscossa
283;bruciatutto
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
292;battiterra
94;frana
235;cannonflash
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
345;crescipugno
13;taglio
43;surf
53;forza
158;tritartigli
105;finta
229;rogodenti
125;codacciaio
126;ferrartigli
181;velenocoda
123;inseguimento
201;sbigoattacco
227;fulmindenti
208;idrondata
237;dragobolide
213;dragopulsar
7;fuocopugno
244;sporcolancio
140;ondacalda
245;metaltestata
187;ondashock
101;russare
9;tuonopugno
