id;name
220;baldeali
205;velenpuntura
50;beccata
117;tagliofuria
27;furia
175;aeroassalto
147;privazione
97;lacerazione
164;aerasoio
207;nottesferza
284;acrobazia
194;fintoattacco
115;falsofinale
210;eterelama
128;introforza
141;facciata
99;furto
274;coro
118;alacciaio
285;nemesi
196;retromarcia
148;forzasegreta
13;taglio
16;volo
182;supplica
14;raffica
185;fendifoglia
107;fangosberla
68;attacco rapido
145;vendetta
140;ondacalda
125;codacciaio
200;ultimascelta
87;aeroattacco
101;russare
139;baraonda
