id;name
105;finta
172;sabbiotomba
107;fangosberla
292;battiterra
94;frana
221;geoforza
294;codadrago
64;terremoto
122;dragospiro
139;baraonda
49;iper raggio
177;dragartigli
214;dragofuria
128;introforza
57;solarraggio
65;fossa
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
118;alacciaio
283;bruciatutto
222;gigaimpatto
247;pietrataglio
291;entomoblocco
196;retromarcia
136;spaccaroccia
148;forzasegreta
345;crescipugno
16;volo
53;forza
250;coleomorso
117;tagliofuria
14;raffica
180;colpodifango
68;attacco rapido
168;segnoraggio
237;dragobolide
213;dragopulsar
7;fuocopugno
113;gigassorbimento
140;ondacalda
125;codacciaio
112;oltraggio
101;russare
144;troppoforte
9;tuonopugno
37;morso
131;sgranocchio
194;fintoattacco
338;ondaboato
212;ronzio
