id;name
1;botta
272;acidobomba
3;doppiasberla
74;fango
29;corposcontro
106;fangobomba
277;pulifumo
327;rutto
244;sporcolancio
91;esplosione
264;velenoshock
128;introforza
49;iper raggio
57;solarraggio
265;abbattimento
61;fulmine
67;psichico
268;fangonda
141;facciata
99;furto
274;coro
218;focalcolpo
198;rivincita
222;gigaimpatto
344;assillo
148;forzasegreta
206;neropulsar
186;cadutamassi
114;rotolamento
70;autodistruzione
216;assorbipugno
113;gigassorbimento
209;semebomba
101;russare
31;riduttore
