id;name
122;dragospiro
261;funestovento
133;forzantica
97;lacerazione
230;furtivombra
177;dragartigli
221;geoforza
204;forzasfera
226;ombrartigli
262;oscurotuffo
280;sciagura
128;introforza
49;iper raggio
61;fulmine
62;tuono
64;terremoto
67;psichico
134;palla ombra
175;aeroassalto
141;facciata
274;coro
275;echeggiavoce
118;alacciaio
219;energipalla
251;raggioscossa
198;rivincita
222;gigaimpatto
247;pietrataglio
292;battiterra
294;codadrago
84;mangiasogni
136;spaccaroccia
148;forzasegreta
206;neropulsar
13;taglio
16;volo
53;forza
208;idrondata
237;dragobolide
213;dragopulsar
156;granvoce
110;ventogelato
245;metaltestata
125;codacciaio
112;oltraggio
187;ondashock
101;russare
