id;name
253;acquagetto
10;graffio
41;pistolacqua
66;confusione
92;sfuriate
188;idropulsar
233;cozzata zen
208;idrondata
42;idropompa
263;psicoshock
128;introforza
44;geloraggio
45;bora
49;iper raggio
65;fossa
67;psichico
146;breccia
175;aeroassalto
141;facciata
271;calciobasso
274;coro
218;focalcolpo
279;idrovampata
226;ombrartigli
222;gigaimpatto
136;spaccaroccia
148;forzasegreta
345;crescipugno
43;surf
53;forza
77;cascata
149;sub
277;pulifumo
129;incrocolpo
135;divinazione
231;pantanobomba
46;psicoraggio
269;sincrumore
142;centripugno
8;gelopugno
110;ventogelato
125;codacciaio
168;segnoraggio
101;russare
193;acquadisale
