id;name
1;botta
333;incantavoce
3;doppiasberla
114;rotolamento
274;coro
191;svegliopacca
29;corposcontro
156;granvoce
33;sdoppiatore
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
65;fossa
67;psichico
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
141;facciata
275;echeggiavoce
251;raggioscossa
283;bruciatutto
285;nemesi
84;mangiasogni
296;sprizzalampo
148;forzasegreta
345;crescipugno
341;magibrillio
53;forza
182;supplica
105;finta
200;ultimascelta
179;rimbalzo
216;assorbipugno
7;fuocopugno
142;centripugno
8;gelopugno
110;ventogelato
147;privazione
187;ondashock
101;russare
9;tuonopugno
188;idropulsar
