id;name
66;confusione
79;comete
67;psichico
233;cozzata zen
33;sdoppiatore
135;divinazione
200;ultimascelta
189;obbliderio
263;psicoshock
128;introforza
49;iper raggio
61;fulmine
62;tuono
134;palla ombra
175;aeroassalto
141;facciata
274;coro
219;energipalla
251;raggioscossa
222;gigaimpatto
84;mangiasogni
196;retromarcia
235;cannonflash
148;forzasegreta
345;crescipugno
341;magibrillio
216;assorbipugno
7;fuocopugno
8;gelopugno
110;ventogelato
245;metaltestata
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
139;baraonda
188;idropulsar
337;forza lunare
