id;name
207;nottesferza
194;fintoattacco
10;graffio
54;assorbimento
180;colpodifango
253;acquagetto
55;megassorbimento
97;lacerazione
133;forzantica
128;introforza
44;geloraggio
45;bora
49;iper raggio
265;abbattimento
65;fossa
146;breccia
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
274;coro
279;idrovampata
222;gigaimpatto
247;pietrataglio
94;frana
211;forbice x
136;spaccaroccia
148;forzasegreta
13;taglio
43;surf
77;cascata
149;sub
48;raggiaurora
47;bollaraggio
113;gigassorbimento
110;ventogelato
147;privazione
124;rapigiro
31;riduttore
208;idrondata
221;geoforza
101;russare
144;troppoforte
188;idropulsar
