id;name
269;sincrumore
133;forzantica
99;furto
162;sgomento
72;leccata
10;graffio
17;legatutto
230;furtivombra
194;fintoattacco
92;sfuriate
105;finta
46;psicoraggio
97;lacerazione
226;ombrartigli
201;sbigoattacco
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
65;fossa
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
251;raggioscossa
283;bruciatutto
285;nemesi
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
89;stordipugno
138;bruciapelo
273;ripicca
208;idrondata
216;assorbipugno
7;fuocopugno
142;centripugno
8;gelopugno
110;ventogelato
125;codacciaio
147;privazione
200;ultimascelta
187;ondashock
101;russare
9;tuonopugno
188;idropulsar
