id;name
179;rimbalzo
1;botta
68;attacco rapido
23;calciosalto
89;stordipugno
83;calcinvolo
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
65;fossa
134;palla ombra
141;facciata
271;calciobasso
274;coro
218;focalcolpo
251;raggioscossa
285;nemesi
222;gigaimpatto
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
282;ribaltiro
256;doppiosmash
138;bruciapelo
7;fuocopugno
142;centripugno
8;gelopugno
171;stramontante
9;tuonopugno
182;supplica
216;assorbipugno
156;granvoce
125;codacciaio
200;ultimascelta
187;ondashock
101;russare
139;baraonda
188;idropulsar
