id;name
1;botta
139;baraonda
275;echeggiavoce
162;sgomento
37;morso
20;pestone
156;granvoce
269;sincrumore
128;introforza
44;geloraggio
45;bora
57;solarraggio
265;abbattimento
64;terremoto
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
141;facciata
274;coro
165;vampata
283;bruciatutto
285;nemesi
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
282;ribaltiro
333;incantavoce
170;extrasenso
192;martelpugno
143;maniereforti
101;russare
31;riduttore
7;fuocopugno
8;gelopugno
110;ventogelato
187;ondashock
9;tuonopugno
188;idropulsar
233;cozzata zen
