id;name
162;sgomento
55;megassorbimento
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
146;breccia
141;facciata
99;furto
274;coro
275;echeggiavoce
218;focalcolpo
219;energipalla
279;idrovampata
222;gigaimpatto
136;spaccaroccia
148;forzasegreta
345;crescipugno
43;surf
53;forza
77;cascata
149;sub
113;gigassorbimento
56;foglielama
41;pistolacqua
216;assorbipugno
7;fuocopugno
142;centripugno
156;granvoce
8;gelopugno
110;ventogelato
147;privazione
209;semebomba
101;russare
9;tuonopugno
139;baraonda
188;idropulsar
233;cozzata zen
54;assorbimento
47;bollaraggio
138;bruciapelo
92;sfuriate
42;idropompa
