id;name
73;smog
39;braciere
105;finta
59;turbofuoco
277;pulifumo
267;pirolancio
7;fuocopugno
239;lavasbuffo
40;lanciafiamme
76;fuocobomba
128;introforza
49;iper raggio
67;psichico
146;breccia
141;facciata
270;nitrocarica
99;furto
271;calciobasso
274;coro
165;vampata
218;focalcolpo
283;bruciatutto
222;gigaimpatto
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
327;rutto
129;incrocolpo
120;dinamipugno
202;fuococarica
125;codacciaio
2;colpokarate
104;pugnorapido
5;megapugno
9;tuonopugno
182;supplica
298;doppiocolpo
142;centripugno
140;ondacalda
101;russare
