id;name
212;ronzio
261;funestovento
88;bolla
68;attacco rapido
14;raffica
164;aerasoio
167;ventargenteo
210;eterelama
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
134;palla ombra
175;aeroassalto
141;facciata
99;furto
274;coro
219;energipalla
279;idrovampata
222;gigaimpatto
291;entomoblocco
344;assillo
196;retromarcia
148;forzasegreta
253;acquagetto
250;coleomorso
328;pungiglione
42;idropompa
180;colpodifango
46;psicoraggio
168;segnoraggio
113;gigassorbimento
110;ventogelato
101;russare
188;idropulsar
47;bollaraggio
