id;name
274;coro
68;attacco rapido
66;confusione
284;acrobazia
46;psicoraggio
275;echeggiavoce
196;retromarcia
191;svegliopacca
67;psichico
156;granvoce
197;zuffa
263;psicoshock
128;introforza
49;iper raggio
61;fulmine
62;tuono
134;palla ombra
146;breccia
141;facciata
271;calciobasso
218;focalcolpo
219;energipalla
251;raggioscossa
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
247;pietrataglio
84;mangiasogni
136;spaccaroccia
148;forzasegreta
345;crescipugno
341;magibrillio
53;forza
182;supplica
216;assorbipugno
298;doppiocolpo
7;fuocopugno
142;centripugno
8;gelopugno
147;privazione
200;ultimascelta
313;cantoantico
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
139;baraonda
233;cozzata zen
