id;name
184;fogliamagica
66;confusione
3;doppiasberla
46;psicoraggio
67;psichico
263;psicoshock
128;introforza
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
134;palla ombra
146;breccia
175;aeroassalto
141;facciata
99;furto
274;coro
218;focalcolpo
219;energipalla
251;raggioscossa
198;rivincita
222;gigaimpatto
344;assillo
84;mangiasogni
148;forzasegreta
345;crescipugno
341;magibrillio
138;bruciapelo
135;divinazione
110;ventogelato
191;svegliopacca
182;supplica
216;assorbipugno
7;fuocopugno
142;centripugno
273;ripicca
8;gelopugno
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
233;cozzata zen
