id;name
244;sporcolancio
186;cadutamassi
41;pistolacqua
82;limitazione
46;psicoraggio
48;raggiaurora
47;bollaraggio
108;octazooka
168;segnoraggio
44;geloraggio
174;semitraglia
42;idropompa
49;iper raggio
128;introforza
45;bora
265;abbattimento
67;psichico
268;fangonda
40;lanciafiamme
106;fangobomba
76;fuocobomba
141;facciata
99;furto
274;coro
219;energipalla
279;idrovampata
251;raggioscossa
283;bruciatutto
198;rivincita
222;gigaimpatto
235;cannonflash
148;forzasegreta
43;surf
77;cascata
149;sub
272;acidobomba
180;colpodifango
101;russare
79;comete
188;idropulsar
17;legatutto
179;rimbalzo
110;ventogelato
209;semebomba
