id;name
282;ribaltiro
47;bollaraggio
3;doppiasberla
52;sottomissione
120;dinamipugno
128;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
65;fossa
67;psichico
146;breccia
166;rocciotomba
141;facciata
99;furto
271;calciobasso
274;coro
218;focalcolpo
279;idrovampata
198;rivincita
222;gigaimpatto
292;battiterra
94;frana
205;velenpuntura
136;spaccaroccia
148;forzasegreta
345;crescipugno
43;surf
53;forza
77;cascata
149;sub
154;palla gelo
180;colpodifango
188;idropulsar
142;centripugno
8;gelopugno
110;ventogelato
101;russare
88;bolla
41;pistolacqua
29;corposcontro
191;svegliopacca
42;idropompa
231;pantanobomba
