id;name
28;azione
39;braciere
68;attacco rapido
100;ruotafuoco
79;comete
270;nitrocarica
239;lavasbuffo
40;lanciafiamme
286;marchiatura
114;rotolamento
33;sdoppiatore
128;introforza
65;fossa
146;breccia
76;fuocobomba
175;aeroassalto
141;facciata
274;coro
165;vampata
283;bruciatutto
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
182;supplica
158;tritartigli
21;doppiocalcio
170;extrasenso
267;pirolancio
202;fuococarica
92;sfuriate
32;colpo
288;fiammapatto
142;centripugno
140;ondacalda
101;russare
