id;name
229;rogodenti
133;forzantica
40;lanciafiamme
122;dragospiro
97;lacerazione
170;extrasenso
324;incrofiamma
213;dragopulsar
131;sgranocchio
76;fuocobomba
112;oltraggio
156;granvoce
317;fuocoblu
177;dragartigli
128;introforza
49;iper raggio
57;solarraggio
67;psichico
134;palla ombra
166;rocciotomba
141;facciata
270;nitrocarica
274;coro
275;echeggiavoce
165;vampata
118;alacciaio
218;focalcolpo
283;bruciatutto
226;ombrartigli
198;rivincita
222;gigaimpatto
247;pietrataglio
94;frana
294;codadrago
136;spaccaroccia
148;forzasegreta
13;taglio
16;volo
53;forza
237;dragobolide
221;geoforza
140;ondacalda
101;russare
233;cozzata zen
