id;name
233;cozzata zen
10;graffio
162;sgomento
92;sfuriate
230;furtivombra
105;finta
138;bruciapelo
147;privazione
226;ombrartigli
215;gemmoforza
134;palla ombra
273;ripicca
128;introforza
67;psichico
146;breccia
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
271;calciobasso
274;coro
198;rivincita
205;velenpuntura
84;mangiasogni
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
345;crescipugno
341;magibrillio
13;taglio
194;fintoattacco
201;sbigoattacco
7;fuocopugno
142;centripugno
8;gelopugno
110;ventogelato
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
188;idropulsar
