id;name
121;megacorno
28;azione
41;pistolacqua
302;conchilama
117;tagliofuria
188;idropulsar
145;vendetta
253;acquagetto
97;lacerazione
208;idrondata
285;nemesi
42;idropompa
128;introforza
44;geloraggio
45;bora
49;iper raggio
65;fossa
175;aeroassalto
141;facciata
274;coro
115;falsofinale
279;idrovampata
222;gigaimpatto
211;forbice x
294;codadrago
136;spaccaroccia
148;forzasegreta
13;taglio
43;surf
53;forza
77;cascata
149;sub
210;eterelama
199;garanzia
193;acquadisale
207;nottesferza
182;supplica
160;idrocannone
110;ventogelato
125;codacciaio
147;privazione
101;russare
144;troppoforte
287;acquapatto
343;riguardo
