id;name
192;martelpugno
10;graffio
105;finta
182;supplica
276;insidia
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
265;abbattimento
61;fulmine
62;tuono
64;terremoto
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
271;calciobasso
274;coro
218;focalcolpo
283;bruciatutto
226;ombrartigli
285;nemesi
222;gigaimpatto
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
29;corposcontro
158;tritartigli
207;nottesferza
123;inseguimento
97;lacerazione
101;russare
7;fuocopugno
142;centripugno
244;sporcolancio
8;gelopugno
110;ventogelato
187;ondashock
9;tuonopugno
188;idropulsar
335;carineria
139;baraonda
92;sfuriate
