id;name
10;graffio
105;finta
182;supplica
276;insidia
335;carineria
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
283;bruciatutto
226;ombrartigli
285;nemesi
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
29;corposcontro
158;tritartigli
192;martelpugno
207;nottesferza
123;inseguimento
97;lacerazione
101;russare
7;fuocopugno
142;centripugno
244;sporcolancio
8;gelopugno
110;ventogelato
187;ondashock
9;tuonopugno
188;idropulsar
