id;name
66;confusione
14;raffica
199;garanzia
299;cuorestampo
164;aerasoio
210;eterelama
135;divinazione
67;psichico
263;psicoshock
128;introforza
49;iper raggio
134;palla ombra
175;aeroassalto
141;facciata
99;furto
274;coro
118;alacciaio
219;energipalla
251;raggioscossa
284;acrobazia
222;gigaimpatto
84;mangiasogni
196;retromarcia
148;forzasegreta
16;volo
147;privazione
278;veicolaforza
269;sincrumore
113;gigassorbimento
140;ondacalda
187;ondashock
168;segnoraggio
87;aeroattacco
101;russare
139;baraonda
233;cozzata zen
