id;name
184;fogliamagica
336;vento di fata
133;forzantica
33;sdoppiatore
200;ultimascelta
263;psicoshock
128;introforza
49;iper raggio
57;solarraggio
67;psichico
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
175;aeroassalto
141;facciata
274;coro
275;echeggiavoce
118;alacciaio
283;bruciatutto
285;nemesi
222;gigaimpatto
84;mangiasogni
136;spaccaroccia
148;forzasegreta
341;magibrillio
16;volo
170;extrasenso
135;divinazione
50;beccata
278;veicolaforza
182;supplica
216;assorbipugno
142;centripugno
140;ondacalda
156;granvoce
187;ondashock
168;segnoraggio
101;russare
188;idropulsar
233;cozzata zen
