id;name
252;mazzuolegno
28;azione
54;assorbimento
56;foglielama
37;morso
55;megassorbimento
64;terremoto
131;sgranocchio
113;gigassorbimento
240;verdebufera
128;introforza
49;iper raggio
57;solarraggio
166;rocciotomba
141;facciata
274;coro
219;energipalla
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
29;corposcontro
33;sdoppiatore
221;geoforza
172;sabbiotomba
209;semebomba
144;troppoforte
32;colpo
178;radicalbero
289;erbapatto
245;metaltestata
125;codacciaio
112;oltraggio
101;russare
