id;name
192;martelpugno
182;supplica
10;graffio
72;leccata
92;sfuriate
105;finta
97;lacerazione
101;russare
32;colpo
128;introforza
49;iper raggio
265;abbattimento
64;terremoto
65;fossa
146;breccia
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
274;coro
218;focalcolpo
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
276;insidia
197;zuffa
129;incrocolpo
131;sgranocchio
33;sdoppiatore
126;ferrartigli
207;nottesferza
335;carineria
31;riduttore
7;fuocopugno
142;centripugno
244;sporcolancio
156;granvoce
8;gelopugno
200;ultimascelta
209;semebomba
144;troppoforte
9;tuonopugno
139;baraonda
