id;name
28;azione
19;frustata
31;riduttore
56;foglielama
33;sdoppiatore
58;petalodanza
331;fiortempesta
57;solarraggio
264;velenoshock
128;introforza
49;iper raggio
64;terremoto
106;fangobomba
141;facciata
274;coro
275;echeggiavoce
219;energipalla
222;gigaimpatto
292;battiterra
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
113;gigassorbimento
240;verdebufera
184;fogliamagica
241;vigorcolpo
80;capocciata
74;fango
17;legatutto
178;radicalbero
289;erbapatto
147;privazione
112;oltraggio
209;semebomba
101;russare
