id;name
105;finta
172;sabbiotomba
107;fangosberla
292;battiterra
94;frana
221;geoforza
212;ronzio
64;terremoto
122;dragospiro
139;baraonda
49;iper raggio
338;ondaboato
128;introforza
57;solarraggio
65;fossa
166;rocciotomba
141;facciata
274;coro
118;alacciaio
291;entomoblocco
196;retromarcia
136;spaccaroccia
148;forzasegreta
16;volo
53;forza
250;coleomorso
117;tagliofuria
14;raffica
180;colpodifango
68;attacco rapido
168;segnoraggio
237;dragobolide
213;dragopulsar
113;gigassorbimento
140;ondacalda
112;oltraggio
101;russare
144;troppoforte
37;morso
131;sgranocchio
194;fintoattacco
