id;name
200;ultimascelta
66;confusione
79;comete
139;baraonda
135;divinazione
170;extrasenso
91;esplosione
263;psicoshock
128;introforza
49;iper raggio
61;fulmine
62;tuono
67;psichico
134;palla ombra
40;lanciafiamme
76;fuocobomba
141;facciata
274;coro
219;energipalla
251;raggioscossa
283;bruciatutto
284;acrobazia
198;rivincita
222;gigaimpatto
84;mangiasogni
196;retromarcia
148;forzasegreta
345;crescipugno
341;magibrillio
7;fuocopugno
8;gelopugno
125;codacciaio
147;privazione
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
188;idropulsar
233;cozzata zen
