id;name
33;sdoppiatore
1;botta
3;doppiasberla
31;riduttore
71;uovobomba
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
64;terremoto
67;psichico
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
141;facciata
274;coro
275;echeggiavoce
251;raggioscossa
283;bruciatutto
222;gigaimpatto
292;battiterra
94;frana
84;mangiasogni
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
345;crescipugno
341;magibrillio
53;forza
200;ultimascelta
231;pantanobomba
182;supplica
216;assorbipugno
7;fuocopugno
142;centripugno
156;granvoce
8;gelopugno
110;ventogelato
125;codacciaio
187;ondashock
101;russare
9;tuonopugno
188;idropulsar
233;cozzata zen
