id;name
10;graffio
39;braciere
229;rogodenti
267;pirolancio
97;lacerazione
40;lanciafiamme
59;turbofuoco
286;marchiatura
177;dragartigli
128;introforza
65;fossa
146;breccia
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
270;nitrocarica
274;coro
275;echeggiavoce
165;vampata
283;bruciatutto
226;ombrartigli
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
53;forza
164;aerasoio
133;forzantica
37;morso
131;sgranocchio
213;dragopulsar
214;dragofuria
202;fuococarica
142;centripugno
126;ferrartigli
112;oltraggio
288;fiammapatto
7;fuocopugno
140;ondacalda
125;codacciaio
101;russare
9;tuonopugno
