id;name
66;confusione
124;rapigiro
107;fangosberla
166;rocciotomba
46;psicoraggio
133;forzantica
70;autodistruzione
170;extrasenso
49;iper raggio
221;geoforza
91;esplosione
263;psicoshock
128;introforza
44;geloraggio
57;solarraggio
265;abbattimento
64;terremoto
65;fossa
67;psichico
134;palla ombra
141;facciata
274;coro
251;raggioscossa
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
84;mangiasogni
136;spaccaroccia
148;forzasegreta
341;magibrillio
53;forza
297;giravvita
168;segnoraggio
101;russare
233;cozzata zen
