id;name
30;avvolgibotta
147;privazione
123;inseguimento
67;psichico
233;cozzata zen
190;psicoslancio
49;iper raggio
144;troppoforte
109;falcecannone
79;comete
132;extrarapido
263;psicoshock
128;introforza
44;geloraggio
57;solarraggio
61;fulmine
62;tuono
134;palla ombra
146;breccia
166;rocciotomba
175;aeroassalto
141;facciata
271;calciobasso
274;coro
218;focalcolpo
219;energipalla
251;raggioscossa
222;gigaimpatto
94;frana
205;velenpuntura
84;mangiasogni
235;cannonflash
136;spaccaroccia
148;forzasegreta
206;neropulsar
345;crescipugno
13;taglio
53;forza
17;legatutto
216;assorbipugno
7;fuocopugno
142;centripugno
8;gelopugno
110;ventogelato
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
188;idropulsar
