id;name
46;psicoraggio
233;cozzata zen
215;gemmoforza
101;russare
263;psicoshock
198;rivincita
67;psichico
179;rimbalzo
128;introforza
49;iper raggio
134;palla ombra
146;breccia
141;facciata
99;furto
274;coro
218;focalcolpo
219;energipalla
251;raggioscossa
222;gigaimpatto
292;battiterra
84;mangiasogni
148;forzasegreta
345;crescipugno
170;extrasenso
135;divinazione
182;supplica
216;assorbipugno
7;fuocopugno
142;centripugno
8;gelopugno
110;ventogelato
125;codacciaio
187;ondashock
168;segnoraggio
9;tuonopugno
