id;name
286;marchiatura
227;fulmindenti
39;braciere
73;smog
37;morso
229;rogodenti
105;finta
273;ripicca
40;lanciafiamme
131;sgranocchio
128;introforza
49;iper raggio
57;solarraggio
134;palla ombra
106;fangobomba
76;fuocobomba
141;facciata
270;nitrocarica
99;furto
274;coro
165;vampata
283;bruciatutto
198;rivincita
285;nemesi
222;gigaimpatto
84;mangiasogni
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
53;forza
194;fintoattacco
59;turbofuoco
123;inseguimento
69;ira
201;sbigoattacco
140;ondacalda
156;granvoce
125;codacciaio
101;russare
139;baraonda
