id;name
28;azione
60;tuonoshock
68;attacco rapido
21;doppiocalcio
227;fulmindenti
36;missilspillo
238;scarica
200;ultimascelta
62;tuono
128;introforza
49;iper raggio
61;fulmine
65;fossa
134;palla ombra
141;facciata
274;coro
275;echeggiavoce
251;raggioscossa
285;nemesi
222;gigaimpatto
290;invertivolt
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
53;forza
182;supplica
278;veicolaforza
269;sincrumore
156;granvoce
125;codacciaio
187;ondashock
168;segnoraggio
101;russare
79;comete
37;morso
31;riduttore
33;sdoppiatore
