id;name
132;extrarapido
213;dragopulsar
197;zuffa
204;forzasfera
68;attacco rapido
126;ferrartigli
194;fintoattacco
345;crescipugno
111;ossoraffica
128;introforza
49;iper raggio
64;terremoto
65;fossa
67;psichico
134;palla ombra
146;breccia
166;rocciotomba
141;facciata
271;calciobasso
274;coro
218;focalcolpo
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
205;velenpuntura
235;cannonflash
136;spaccaroccia
148;forzasegreta
206;neropulsar
53;forza
37;morso
153;calciardente
223;pugnoscarica
282;ribaltiro
129;incrocolpo
131;sgranocchio
83;calcinvolo
171;stramontante
217;vuotonda
216;assorbipugno
298;doppiocolpo
142;centripugno
8;gelopugno
125;codacciaio
101;russare
9;tuonopugno
188;idropulsar
233;cozzata zen
203;palmoforza
