id;name
9;tuonopugno
73;smog
39;braciere
105;finta
59;turbofuoco
277;pulifumo
267;pirolancio
7;fuocopugno
239;lavasbuffo
40;lanciafiamme
76;fuocobomba
49;iper raggio
128;introforza
57;solarraggio
61;fulmine
64;terremoto
67;psichico
146;breccia
166;rocciotomba
141;facciata
270;nitrocarica
99;furto
271;calciobasso
274;coro
165;vampata
218;focalcolpo
283;bruciatutto
222;gigaimpatto
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
327;rutto
129;incrocolpo
120;dinamipugno
202;fuococarica
125;codacciaio
2;colpokarate
104;pugnorapido
5;megapugno
182;supplica
298;doppiocolpo
142;centripugno
140;ondacalda
101;russare
