id;name
60;tuonoshock
68;attacco rapido
194;fintoattacco
116;scintilla
342;elettrococcola
238;scarica
18;schianto
61;fulmine
296;sprizzalampo
62;tuono
128;introforza
65;fossa
146;breccia
141;facciata
274;coro
275;echeggiavoce
251;raggioscossa
290;invertivolt
136;spaccaroccia
148;forzasegreta
53;forza
333;incantavoce
3;doppiasberla
138;bruciapelo
9;tuonopugno
183;locomovolt
182;supplica
295;elettrotela
142;centripugno
125;codacciaio
147;privazione
187;ondashock
168;segnoraggio
101;russare
22;megacalcio
43;surf
299;cuorestampo
161;meteorpugno
322;scagliagelo
334;assorbibacio
326;schiacciatuffo
