id;name
11;presa
17;legatutto
145;vendetta
127;vitaltiro
256;doppiosmash
146;breccia
52;sottomissione
211;forbice x
266;tempestretta
32;colpo
144;troppoforte
128;introforza
49;iper raggio
265;abbattimento
64;terremoto
65;fossa
166;rocciotomba
141;facciata
99;furto
274;coro
218;focalcolpo
115;falsofinale
222;gigaimpatto
247;pietrataglio
291;entomoblocco
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
250;coleomorso
197;zuffa
105;finta
194;fintoattacco
27;furia
68;attacco rapido
142;centripugno
147;privazione
101;russare
