id;name
68;attacco rapido
194;fintoattacco
203;palmoforza
128;introforza
64;terremoto
65;fossa
146;breccia
166;rocciotomba
141;facciata
271;calciobasso
274;coro
218;focalcolpo
226;ombrartigli
198;rivincita
285;nemesi
292;battiterra
94;frana
205;velenpuntura
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
37;morso
153;calciardente
223;pugnoscarica
282;ribaltiro
129;incrocolpo
131;sgranocchio
83;calcinvolo
171;stramontante
217;vuotonda
216;assorbipugno
298;doppiocolpo
142;centripugno
8;gelopugno
125;codacciaio
101;russare
9;tuonopugno
233;cozzata zen
