id;name
88;bolla
274;coro
47;bollaraggio
180;colpodifango
139;baraonda
173;fanghiglia
38;acido
216;assorbipugno
275;echeggiavoce
42;idropompa
156;granvoce
264;velenoshock
128;introforza
49;iper raggio
64;terremoto
65;fossa
146;breccia
268;fangonda
106;fangobomba
166;rocciotomba
141;facciata
218;focalcolpo
279;idrovampata
198;rivincita
222;gigaimpatto
292;battiterra
94;frana
344;assillo
205;velenpuntura
136;spaccaroccia
148;forzasegreta
345;crescipugno
43;surf
53;forza
221;geoforza
231;pantanobomba
101;russare
188;idropulsar
179;rimbalzo
142;centripugno
8;gelopugno
110;ventogelato
147;privazione
