id;name
28;azione
19;frustata
30;avvolgibotta
303;vorticerba
55;megassorbimento
18;schianto
185;fendifoglia
113;gigassorbimento
240;verdebufera
128;introforza
49;iper raggio
57;solarraggio
175;aeroassalto
141;facciata
274;coro
219;energipalla
222;gigaimpatto
294;codadrago
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
125;codacciaio
184;fogliamagica
123;inseguimento
130;tornado
208;idrondata
17;legatutto
213;dragopulsar
178;radicalbero
289;erbapatto
147;privazione
112;oltraggio
209;semebomba
101;russare
343;riguardo
